OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,Latitude,Longitude,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051205_134401,Sample-Routine,Water,Surface Water,2005-12-05,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489784,,,Total Coliform,,30,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:52.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051219_134503,Sample-Routine,Water,Surface Water,2005-12-19,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490066,,,Total Coliform,,2,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:40:01.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051212_135559,Sample-Routine,Water,Surface Water,2005-12-12,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489942,,,Fecal Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:57.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051214_134787,Sample-Routine,Water,Surface Water,2005-12-14,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489987,,,Fecal Coliform,,18,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-E,APHA,9221 E ~ Fecal Coliform Procedure- Multiple-Tube Procedure,,https://www.nemi.gov/methods/method_summary/5588/,,,,,,,,,2008-02-11 15:39:58.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051214_135901,Sample-Routine,Water,Surface Water,2005-12-14,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489991,,,Total Coliform,,190,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9222B,APHA,9222 B ~ Standard Total Coliform Membrane Filter Procedure,,,,,,,,,,,2008-02-11 15:39:58.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051223_134947,Sample-Routine,Water,Surface Water,2005-12-23,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490158,,,Fecal Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-E,APHA,9221 E ~ Fecal Coliform Procedure- Multiple-Tube Procedure,,https://www.nemi.gov/methods/method_summary/5588/,,,,,,,,,2008-02-11 15:40:03.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051230_135107,Sample-Routine,Water,Surface Water,2005-12-30,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490320,,,Fecal Coliform,,110,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,,https://www.nemi.gov/methods/method_summary/5587/,,,,,,,,,2008-02-11 15:40:09.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051220_134891,Sample-Routine,Water,Surface Water,2005-12-20,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490105,,,Total Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:40:02.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051215_134799,Sample-Routine,Water,Surface Water,2005-12-15,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489995,,,Enterococcus,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:59.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-629_20051219_112269,Sample-Routine,Water,Surface Water,2005-12-19,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-629,WEST END/BABY BEACH,,,,,33.4621600000,-117.7050000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490045,,,Total Coliform,,100,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9222B,APHA,9222 B ~ Standard Total Coliform Membrane Filter Procedure,,,,,,,,,,,2008-02-11 15:40:00.0,STORET
