OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,Latitude,Longitude,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060712_157177,Sample-Routine,Water,Surface Water,2006-07-12,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489271,,,Total Coliform,,Present Above Quantification Limit,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:36.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060724_161981,Sample-Routine,Water,Surface Water,2006-07-24,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489493,,,Total Coliform,,130,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:43.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060724_162663,Sample-Routine,Water,Surface Water,2006-07-24,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489515,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:43.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060710_157145,Sample-Routine,Water,Surface Water,2006-07-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489192,,,Fecal Coliform,,800,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-E,APHA,9221 E ~ Fecal Coliform Procedure- Multiple-Tube Procedure,,https://www.nemi.gov/methods/method_summary/5588/,,,,,,,,,2008-02-11 15:39:34.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060731_163357,Sample-Routine,Water,Surface Water,2006-07-31,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489683,,,Enterococcus,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:49.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060725_162635,Sample-Routine,Water,Surface Water,2006-07-25,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489550,,,Total Coliform,,4,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9222B,APHA,9222 B ~ Standard Total Coliform Membrane Filter Procedure,,,,,,,,,,,2008-02-11 15:39:44.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060710_157087,Sample-Routine,Water,Surface Water,2006-07-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489179,,,Enterococcus,,110,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9221-B,APHA,9221 B ~ Standard Total Coliform- Fermentation Technique,,,,,,,,,,,2008-02-11 15:39:34.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060717_162203,Sample-Routine,Water,Surface Water,2006-07-17,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489365,,,Enterococcus,,31,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,IDEXX,Enterolert Test Kit Procedure,,https://www.nemi.gov/methods/method_summary/5590/,,,,,,,,,2008-02-11 15:39:39.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060726_162613,Sample-Routine,Water,Surface Water,2006-07-26,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489592,,,Total Coliform,,Present Above Quantification Limit,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:46.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-628_20060710_159071,Sample-Routine,Water,Surface Water,2006-07-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-628,PIER,,,,,33.4613300000,-117.7055000000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29489207,,,Fecal Coliform,,Not Detected,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,,https://www.nemi.gov/methods/method_summary/5585/,,,,,,,,,2008-02-11 15:39:34.0,STORET
